InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bozm, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: yodaC, file_name: Backdoor.Win32.Hupigon.bozv, predicted-end-of-unpacking: a0x004e4b89ret, score: 0.8625336298971816
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bpha, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bpi, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: upx, file_name: Backdoor.Win32.Hupigon.bpmv, predicted-end-of-unpacking: a0x00491c4ajmp_0x0048d03c, score: 0.6973973770754031
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bpnw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bppo, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bppv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bpqv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: aspack, file_name: Backdoor.Win32.Hupigon.bpqx, predicted-end-of-unpacking: a0x004c23bfret, score: 0.8925557986748869
Inference decision: packer_name_be_pum: None, packer_identification: yodaC, file_name: Backdoor.Win32.Hupigon.bpsl, predicted-end-of-unpacking: a0x004e2b89ret, score: 0.8604727720408314
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bpy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bqah, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bqar, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Backdoor.Win32.Hupigon.bqcv, predicted-end-of-unpacking: None, score: 0
