InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: None, packer_identification: winupack, file_name: Trojan.Win32.Dialer.tjf, predicted-end-of-unpacking: a0x0042d00fret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.tjn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.tot, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.tpe, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.tsb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.tsc, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: winupack, file_name: Trojan.Win32.Dialer.tud, predicted-end-of-unpacking: a0x00428477ret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: UPXv1.25, packer_identification: upx, file_name: Trojan.Win32.Dialer.tvp, predicted-end-of-unpacking: a0x000235d3jmp_0x00019924, score: 0.9086042260303021
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.tvr, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.txk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_PECompactv2.0_3_0.7707736417469481, packer_identification: pecompact, file_name: Trojan.Win32.Dialer.tzd, predicted-end-of-unpacking: a0x1315c1b2jmp_eax, score: 0.9859608929224125
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.uch, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Dialer.uct, predicted-end-of-unpacking: a0x0002367cjmp_0x0001a0e4, score: 0.9843063008153031
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.udu, predicted-end-of-unpacking: None, score: 0
