Packer names: ['fsg']
Sample files: ['AccessEnum.exe']
File name: accesschk.exe
Packer: fsg, file_name: Hasher.exe, error: Dot file not exist
Packer: fsg, file_name: md5summer.exe, error: Dot file not exist
Final decision: True, Packer: fsg, file_name: Diskmon.exe, end-of-unpacking: a0x0044c0e1je_0x0040b4b8, predicted-end-of-unpacking: a0x0044c0e1je_0x0040b4b8, score: 1.0000000000000002
Packer: fsg, file_name: DiskView.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x005d40e1je_0x0040c983, predicted-end-of-unpacking: a0x005d40e1je_0x0040c983, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: DiskView.exe, end-of-unpacking: a0x005d40e1je_0x0040c983, predicted-end-of-unpacking: a0x005d40e1je_0x0040c983, score: 1.0000000000000002
Packer: fsg, file_name: DriverView.exe, error: Invalid Input
Packer: fsg, file_name: du.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0043a0e1je_0x004068c9, predicted-end-of-unpacking: a0x0043a0e1je_0x004068c9, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: du.exe, end-of-unpacking: a0x0043a0e1je_0x004068c9, predicted-end-of-unpacking: a0x0043a0e1je_0x004068c9, score: 1.0000000000000002
Packer: fsg, file_name: dxwebsetup.exe, error: Not found end-of-unpacking
Packer: fsg, file_name: efsdump.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0042c0e1je_0x00402138, predicted-end-of-unpacking: a0x0042c0e1je_0x00402138, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: efsdump.exe, end-of-unpacking: a0x0042c0e1je_0x00402138, predicted-end-of-unpacking: a0x0042c0e1je_0x00402138, score: 1.0000000000000002
Packer: fsg, file_name: ESEDatabaseView.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0042b0e1je_0x0040feea, predicted-end-of-unpacking: a0x0042b0e1je_0x0040feea, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: ESEDatabaseView.exe, end-of-unpacking: a0x0042b0e1je_0x0040feea, predicted-end-of-unpacking: a0x0042b0e1je_0x0040feea, score: 1.0000000000000002
Packer: fsg, file_name: EventLogChannelsView.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0042a0e1je_0x0040e52e, predicted-end-of-unpacking: a0x0042a0e1je_0x0040e52e, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: EventLogChannelsView.exe, end-of-unpacking: a0x0042a0e1je_0x0040e52e, predicted-end-of-unpacking: a0x0042a0e1je_0x0040e52e, score: 1.0000000000000002
Packer: fsg, file_name: FastHash_kr.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004af0e1je_0x0041dffa, predicted-end-of-unpacking: a0x004af0e1je_0x0041dffa, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: FastHash_kr.exe, end-of-unpacking: a0x004af0e1je_0x0041dffa, predicted-end-of-unpacking: a0x004af0e1je_0x0041dffa, score: 1.0000000000000002
Packer: fsg, file_name: FileTypesMan.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0042c0e1je_0x004109f0, predicted-end-of-unpacking: a0x0042c0e1je_0x004109f0, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: FileTypesMan.exe, end-of-unpacking: a0x0042c0e1je_0x004109f0, predicted-end-of-unpacking: a0x0042c0e1je_0x004109f0, score: 1.0000000000000002
Packer: fsg, file_name: FindLinks.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004340e1je_0x00404c99, predicted-end-of-unpacking: a0x004340e1je_0x00404c99, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: FindLinks.exe, end-of-unpacking: a0x004340e1je_0x00404c99, predicted-end-of-unpacking: a0x004340e1je_0x00404c99, score: 1.0000000000000002
Packer: fsg, file_name: FolderTimeUpdate.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004250e1je_0x0040c3a6, predicted-end-of-unpacking: a0x004250e1je_0x0040c3a6, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: FolderTimeUpdate.exe, end-of-unpacking: a0x004250e1je_0x0040c3a6, predicted-end-of-unpacking: a0x004250e1je_0x0040c3a6, score: 1.0000000000000002
