Packer names: ['upx']
Sample files: ['AccessEnum.exe']
File name: accesschk.exe
Packer: upx, file_name: accesschk.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x004c4b54, predicted-end-of-unpacking: 0x004c4b54, score: 0.931560813466285
Final decision: True, Packer: upx, file_name: accesschk.exe, end-of-unpacking: 0x004c4b54, predicted-end-of-unpacking: 0x004c4b54, score: 0.931560813466285
Packer: upx, file_name: AccessEnum.exe, msg: This file is sample file.
Packer: upx, file_name: ADExplorer.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0047acc4, predicted-end-of-unpacking: 0x0047acc4, score: 0.9393555566178875
Final decision: True, Packer: upx, file_name: ADExplorer.exe, end-of-unpacking: 0x0047acc4, predicted-end-of-unpacking: 0x0047acc4, score: 0.9393555566178875
Packer: upx, file_name: ADInsight.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0082ada5, predicted-end-of-unpacking: 0x0082ada5, score: 0.9055372604758403
Final decision: True, Packer: upx, file_name: ADInsight.exe, end-of-unpacking: 0x0082ada5, predicted-end-of-unpacking: 0x0082ada5, score: 0.9055372604758403
Packer: upx, file_name: adrestore.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0042620c, predicted-end-of-unpacking: 0x0042620c, score: 1.0000000000000002
Final decision: True, Packer: upx, file_name: adrestore.exe, end-of-unpacking: 0x0042620c, predicted-end-of-unpacking: 0x0042620c, score: 1.0000000000000002
Packer: upx, file_name: Autologon.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00425664, predicted-end-of-unpacking: 0x00425664, score: 0.962851667357612
Final decision: True, Packer: upx, file_name: Autologon.exe, end-of-unpacking: 0x00425664, predicted-end-of-unpacking: 0x00425664, score: 0.962851667357612
Packer: upx, file_name: BatteryInfoView.exe, error: Invalid Input
Packer: upx, file_name: Bginfo.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0070633d, predicted-end-of-unpacking: 0x0070633d, score: 0.931560813466285
Final decision: True, Packer: upx, file_name: Bginfo.exe, end-of-unpacking: 0x0070633d, predicted-end-of-unpacking: 0x0070633d, score: 0.931560813466285
Packer: upx, file_name: BlueScreenView.exe, error: Invalid Input
Packer: upx, file_name: Cacheset.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0042760c, predicted-end-of-unpacking: 0x0042760c, score: 1.0000000000000002
Final decision: True, Packer: upx, file_name: Cacheset.exe, end-of-unpacking: 0x0042760c, predicted-end-of-unpacking: 0x0042760c, score: 1.0000000000000002
Packer: upx, file_name: Clockres.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00425724, predicted-end-of-unpacking: 0x00425724, score: 0.962851667357612
Final decision: True, Packer: upx, file_name: Clockres.exe, end-of-unpacking: 0x00425724, predicted-end-of-unpacking: 0x00425724, score: 0.962851667357612
Packer: upx, file_name: ComIntRep.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x006149dd, predicted-end-of-unpacking: 0x006149dd, score: 0.931560813466285
Final decision: True, Packer: upx, file_name: ComIntRep.exe, end-of-unpacking: 0x006149dd, predicted-end-of-unpacking: 0x006149dd, score: 0.931560813466285
Packer: upx, file_name: Contig.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00471ba3, predicted-end-of-unpacking: 0x00471ba3, score: 0.9667263429742006
Final decision: True, Packer: upx, file_name: Contig.exe, end-of-unpacking: 0x00471ba3, predicted-end-of-unpacking: 0x00471ba3, score: 0.9667263429742006
Packer: upx, file_name: Coreinfo.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x004deb54, predicted-end-of-unpacking: 0x004deb54, score: 0.931560813466285
Final decision: True, Packer: upx, file_name: Coreinfo.exe, end-of-unpacking: 0x004deb54, predicted-end-of-unpacking: 0x004deb54, score: 0.931560813466285
Packer: upx, file_name: ctrl2cap.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00425a8b, predicted-end-of-unpacking: 0x00425a8b, score: 0.9720822085732869
Final decision: True, Packer: upx, file_name: ctrl2cap.exe, end-of-unpacking: 0x00425a8b, predicted-end-of-unpacking: 0x00425a8b, score: 0.9720822085732869
Packer: upx, file_name: Dbgview.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0048b89c, predicted-end-of-unpacking: 0x0048b89c, score: 0.9667263429742006
Final decision: True, Packer: upx, file_name: Dbgview.exe, end-of-unpacking: 0x0048b89c, predicted-end-of-unpacking: 0x0048b89c, score: 0.9667263429742006
Packer: upx, file_name: Desktops.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00422b54, predicted-end-of-unpacking: 0x00422b54, score: 0.962851667357612
Final decision: True, Packer: upx, file_name: Desktops.exe, end-of-unpacking: 0x00422b54, predicted-end-of-unpacking: 0x00422b54, score: 0.962851667357612
Packer: upx, file_name: disk2vhd.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00ad4b86, predicted-end-of-unpacking: 0x00ad4b86, score: 0.931560813466285
Final decision: True, Packer: upx, file_name: disk2vhd.exe, end-of-unpacking: 0x00ad4b86, predicted-end-of-unpacking: 0x00ad4b86, score: 0.931560813466285
Packer: upx, file_name: diskext.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00427c54, predicted-end-of-unpacking: 0x00427c54, score: 0.962851667357612
Final decision: True, Packer: upx, file_name: diskext.exe, end-of-unpacking: 0x00427c54, predicted-end-of-unpacking: 0x00427c54, score: 0.962851667357612
