Packer names: ['MPRESS']
Sample files: ['AccessEnum.exe']
File name: accesschk.exe
Final decision: True, Packer: MPRESS, file_name: dxwebsetup.exe, end-of-unpacking: 0x01009624, predicted-end-of-unpacking: 0x01009624, score: 0.998834817421874
Packer: MPRESS, file_name: efsdump.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00405dce, predicted-end-of-unpacking: 0x00405dce, score: 0.998834817421874
Final decision: True, Packer: MPRESS, file_name: efsdump.exe, end-of-unpacking: 0x00405dce, predicted-end-of-unpacking: 0x00405dce, score: 0.998834817421874
Packer: MPRESS, file_name: ESEDatabaseView.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x004103e8, predicted-end-of-unpacking: 0x004103e8, score: 0.998834817421874
Final decision: True, Packer: MPRESS, file_name: ESEDatabaseView.exe, end-of-unpacking: 0x004103e8, predicted-end-of-unpacking: 0x004103e8, score: 0.998834817421874
Packer: MPRESS, file_name: EventLogChannelsView.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0040ea2c, predicted-end-of-unpacking: 0x0040ea2c, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: EventLogChannelsView.exe, end-of-unpacking: 0x0040ea2c, predicted-end-of-unpacking: 0x0040ea2c, score: 0.9999999999999999
Packer: MPRESS, file_name: FastHash_kr.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00453d47, predicted-end-of-unpacking: 0x00453d47, score: 0.9945469864937039
Final decision: True, Packer: MPRESS, file_name: FastHash_kr.exe, end-of-unpacking: 0x00453d47, predicted-end-of-unpacking: 0x00453d47, score: 0.9945469864937039
Packer: MPRESS, file_name: FileTypesMan.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00410f99, predicted-end-of-unpacking: 0x00410f99, score: 0.998834817421874
Final decision: True, Packer: MPRESS, file_name: FileTypesMan.exe, end-of-unpacking: 0x00410f99, predicted-end-of-unpacking: 0x00410f99, score: 0.998834817421874
Packer: MPRESS, file_name: FindLinks.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00412af2, predicted-end-of-unpacking: 0x00412af2, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: FindLinks.exe, end-of-unpacking: 0x00412af2, predicted-end-of-unpacking: 0x00412af2, score: 0.9999999999999999
Packer: MPRESS, file_name: FolderTimeUpdate.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0040c877, predicted-end-of-unpacking: 0x0040c877, score: 0.9973450555346461
Final decision: True, Packer: MPRESS, file_name: FolderTimeUpdate.exe, end-of-unpacking: 0x0040c877, predicted-end-of-unpacking: 0x0040c877, score: 0.9973450555346461
Packer: MPRESS, file_name: FullEventLogView.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0041183a, predicted-end-of-unpacking: 0x0041183a, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: FullEventLogView.exe, end-of-unpacking: 0x0041183a, predicted-end-of-unpacking: 0x0041183a, score: 0.9999999999999999
Packer: MPRESS, file_name: geek.exe, error: Dot file not exist
Packer: MPRESS, file_name: grepWin-1.9.0_portable.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x004c9e6d, predicted-end-of-unpacking: 0x004c9e6d, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: grepWin-1.9.0_portable.exe, end-of-unpacking: 0x004c9e6d, predicted-end-of-unpacking: 0x004c9e6d, score: 0.9999999999999999
Packer: MPRESS, file_name: handle.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00416f47, predicted-end-of-unpacking: 0x00416f47, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: handle.exe, end-of-unpacking: 0x00416f47, predicted-end-of-unpacking: 0x00416f47, score: 0.9999999999999999
Packer: MPRESS, file_name: HashCalc.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00466146, predicted-end-of-unpacking: 0x00466146, score: 0.9981715834311962
Final decision: True, Packer: MPRESS, file_name: HashCalc.exe, end-of-unpacking: 0x00466146, predicted-end-of-unpacking: 0x00466146, score: 0.9981715834311962
Packer: MPRESS, file_name: Hasher.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x004827eb, predicted-end-of-unpacking: 0x004827eb, score: 0.9985093185715783
Final decision: True, Packer: MPRESS, file_name: Hasher.exe, end-of-unpacking: 0x004827eb, predicted-end-of-unpacking: 0x004827eb, score: 0.9985093185715783
Packer: MPRESS, file_name: Hash.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00405d46, predicted-end-of-unpacking: 0x00405d46, score: 0.9973450555346461
Final decision: True, Packer: MPRESS, file_name: Hash.exe, end-of-unpacking: 0x00405d46, predicted-end-of-unpacking: 0x00405d46, score: 0.9973450555346461
Packer: MPRESS, file_name: hex2dec.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00413a49, predicted-end-of-unpacking: 0x00413a49, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: hex2dec.exe, end-of-unpacking: 0x00413a49, predicted-end-of-unpacking: 0x00413a49, score: 0.9999999999999999
Packer: MPRESS, file_name: HWMonitorPro_x32.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00529e2f, predicted-end-of-unpacking: 0x00529e2f, score: 0.9981715834311962
Final decision: True, Packer: MPRESS, file_name: HWMonitorPro_x32.exe, end-of-unpacking: 0x00529e2f, predicted-end-of-unpacking: 0x00529e2f, score: 0.9981715834311962
Packer: MPRESS, file_name: InstalledPackagesView.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0040d905, predicted-end-of-unpacking: 0x0040d905, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: InstalledPackagesView.exe, end-of-unpacking: 0x0040d905, predicted-end-of-unpacking: 0x0040d905, score: 0.9999999999999999
Packer: MPRESS, file_name: junction.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00422b65, predicted-end-of-unpacking: 0x00422b65, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: junction.exe, end-of-unpacking: 0x00422b65, predicted-end-of-unpacking: 0x00422b65, score: 0.9999999999999999
Packer: MPRESS, file_name: LastActivityView.exe, error: Invalid Input
Packer: MPRESS, file_name: ldmdump.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x004077d3, predicted-end-of-unpacking: 0x004077d3, score: 0.9985093185715783
Final decision: True, Packer: MPRESS, file_name: ldmdump.exe, end-of-unpacking: 0x004077d3, predicted-end-of-unpacking: 0x004077d3, score: 0.9985093185715783
Packer: MPRESS, file_name: Listdlls.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0041cb59, predicted-end-of-unpacking: 0x0041cb59, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: Listdlls.exe, end-of-unpacking: 0x0041cb59, predicted-end-of-unpacking: 0x0041cb59, score: 0.9999999999999999
Packer: MPRESS, file_name: livekd.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x004247f3, predicted-end-of-unpacking: 0x004247f3, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: livekd.exe, end-of-unpacking: 0x004247f3, predicted-end-of-unpacking: 0x004247f3, score: 0.9999999999999999
Packer: MPRESS, file_name: LoadOrdC.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00417f69, predicted-end-of-unpacking: 0x00417f69, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: LoadOrdC.exe, end-of-unpacking: 0x00417f69, predicted-end-of-unpacking: 0x00417f69, score: 0.9999999999999999
Packer: MPRESS, file_name: LoadOrd.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00410c07, predicted-end-of-unpacking: 0x00410c07, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: LoadOrd.exe, end-of-unpacking: 0x00410c07, predicted-end-of-unpacking: 0x00410c07, score: 0.9999999999999999
