This experiments fix wrong packer namePacker names: ['jdpack']
File name: accesschk.exe
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: sync.exe, end-of-unpacking: a0x00425416ret, predicted-end-of-unpacking: a0x00425416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: md5v10.exe, end-of-unpacking: a0x00451416ret, predicted-end-of-unpacking: a0x00451416ret, score: 0.9731046733792635
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: RegDelNull.exe, end-of-unpacking: a0x00426416ret, predicted-end-of-unpacking: a0x00426416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: PEview.exe, end-of-unpacking: a0x00415416ret, predicted-end-of-unpacking: a0x00415416ret, score: 0.9992332807100658
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: Procmon.exe, end-of-unpacking: a0x00617416ret, predicted-end-of-unpacking: a0x00617416ret, score: 0.9996812455182221
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: ldmdump.exe, end-of-unpacking: a0x00425416ret, predicted-end-of-unpacking: a0x00425416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: md5v11027.exe, end-of-unpacking: a0x0046b416ret, predicted-end-of-unpacking: a0x0046b416ret, score: 0.9671582013696816
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: Tcpview.exe, end-of-unpacking: a0x0044d416ret, predicted-end-of-unpacking: a0x0044d416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: OpenedFilesView.exe, end-of-unpacking: a0x0041e416ret, predicted-end-of-unpacking: a0x0041e416ret, score: 0.9985027515922007
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: accesschk.exe, end-of-unpacking: a0x004c2416ret, predicted-end-of-unpacking: a0x004c2416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: LoadOrdC.exe, end-of-unpacking: a0x00432416ret, predicted-end-of-unpacking: a0x00432416ret, score: 0.9996812455182219
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: pipelist.exe, end-of-unpacking: a0x00435416ret, predicted-end-of-unpacking: a0x00435416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: ShellRunas.exe, end-of-unpacking: a0x00418416ret, predicted-end-of-unpacking: a0x00418416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: ShareEnum.exe, end-of-unpacking: a0x00440416ret, predicted-end-of-unpacking: a0x00440416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: regjump.exe, end-of-unpacking: a0x0041e416ret, predicted-end-of-unpacking: a0x0041e416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: TaskSchedulerView.exe, end-of-unpacking: a0x0041c416ret, predicted-end-of-unpacking: a0x0041c416ret, score: 0.9992332807100658
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: psloglist.exe, end-of-unpacking: a0x0042f416ret, predicted-end-of-unpacking: a0x0042f416ret, score: 0.9992332807100657
Final decision: True, Packer: jdpack, packer_identification: jdpack, file_name: movefile.exe, end-of-unpacking: a0x00423416ret, predicted-end-of-unpacking: a0x00423416ret, score: 0.9996812455182219
The accuracy of packer: jdpack is 1.0
