This experiments fix wrong packer namePacker names: ['fsg']
File name: accesschk.exe
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: TaskSchedulerView.exe, end-of-unpacking: a0x004290e1je_0x0040e1d0, predicted-end-of-unpacking: a0x004290e1je_0x0040e1d0, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: pskill.exe, end-of-unpacking: a0x004760e1je_0x0040763e, predicted-end-of-unpacking: a0x004760e1je_0x0040763e, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: FastHash_kr.exe, end-of-unpacking: a0x004af0e1je_0x0041dffa, predicted-end-of-unpacking: a0x004af0e1je_0x0041dffa, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Autologon.exe, end-of-unpacking: a0x0042e0e1je_0x00403980, predicted-end-of-unpacking: a0x0042e0e1je_0x00403980, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Bginfo.exe, end-of-unpacking: a0x008050e1je_0x005b5d42, predicted-end-of-unpacking: a0x008050e1je_0x005b5d42, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: pspasswd.exe, end-of-unpacking: a0x004360e1je_0x00405be3, predicted-end-of-unpacking: a0x004360e1je_0x00405be3, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: ru.exe, end-of-unpacking: a0x004320e1je_0x0040570c, predicted-end-of-unpacking: a0x004320e1je_0x0040570c, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: notmyfaultc.exe, end-of-unpacking: a0x0045f0e1je_0x00405810, predicted-end-of-unpacking: a0x0045f0e1je_0x00405810, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: streams.exe, end-of-unpacking: a0x004300e1je_0x00404a16, predicted-end-of-unpacking: a0x004300e1je_0x00404a16, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: psping.exe, end-of-unpacking: a0x004570e1je_0x004115cc, predicted-end-of-unpacking: a0x004570e1je_0x004115cc, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Hash.exe, end-of-unpacking: a0x004160e1je_0x0040532c, predicted-end-of-unpacking: a0x004160e1je_0x0040532c, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: PEview.exe, end-of-unpacking: a0x0041d0e1je_0x00401000, predicted-end-of-unpacking: a0x0041d0e1je_0x00401000, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: ctrl2cap.exe, end-of-unpacking: a0x0042c0e1je_0x0040221a, predicted-end-of-unpacking: a0x0042c0e1je_0x0040221a, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: psfile.exe, end-of-unpacking: a0x004340e1je_0x004054a0, predicted-end-of-unpacking: a0x004340e1je_0x004054a0, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: ShellRunas.exe, end-of-unpacking: a0x004230e1je_0x00403ba0, predicted-end-of-unpacking: a0x004230e1je_0x00403ba0, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: ESEDatabaseView.exe, end-of-unpacking: a0x0042b0e1je_0x0040feea, predicted-end-of-unpacking: a0x0042b0e1je_0x0040feea, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: RegDelNull.exe, end-of-unpacking: a0x004330e1je_0x00405426, predicted-end-of-unpacking: a0x004330e1je_0x00405426, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: MailbirdInstaller.exe, end-of-unpacking: a0x0070b0e1je_0x0048f113, predicted-end-of-unpacking: a0x0070b0e1je_0x0048f113, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: pssuspend.exe, end-of-unpacking: a0x004750e1je_0x004074fe, predicted-end-of-unpacking: a0x004750e1je_0x004074fe, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: movefile.exe, end-of-unpacking: a0x0042f0e1je_0x00403f4b, predicted-end-of-unpacking: a0x0042f0e1je_0x00403f4b, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: PsLoggedon.exe, end-of-unpacking: a0x004370e1je_0x00405926, predicted-end-of-unpacking: a0x004370e1je_0x00405926, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: FindLinks.exe, end-of-unpacking: a0x004340e1je_0x00404c99, predicted-end-of-unpacking: a0x004340e1je_0x00404c99, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: RAMMap.exe, end-of-unpacking: a0x005100e1je_0x0041ab3f, predicted-end-of-unpacking: a0x005100e1je_0x0041ab3f, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Testlimit.exe, end-of-unpacking: a0x0044f0e1je_0x0040561e, predicted-end-of-unpacking: a0x0044f0e1je_0x0040561e, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: FileTypesMan.exe, end-of-unpacking: a0x0042c0e1je_0x004109f0, predicted-end-of-unpacking: a0x0042c0e1je_0x004109f0, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Clockres.exe, end-of-unpacking: a0x0042f0e1je_0x00404002, predicted-end-of-unpacking: a0x0042f0e1je_0x00404002, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: sdelete.exe, end-of-unpacking: a0x004360e1je_0x0040699f, predicted-end-of-unpacking: a0x004360e1je_0x0040699f, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Procmon.exe, end-of-unpacking: a0x007980e1je_0x004755cb, predicted-end-of-unpacking: a0x007980e1je_0x004755cb, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Listdlls.exe, end-of-unpacking: a0x004b20e1je_0x00409666, predicted-end-of-unpacking: a0x004b20e1je_0x00409666, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: vmmap.exe, end-of-unpacking: a0x0063b0e1je_0x004313a5, predicted-end-of-unpacking: a0x0063b0e1je_0x004313a5, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: AccessEnum.exe, end-of-unpacking: a0x004350e1je_0x00407a98, predicted-end-of-unpacking: a0x004350e1je_0x00407a98, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: EventLogChannelsView.exe, end-of-unpacking: a0x0042a0e1je_0x0040e52e, predicted-end-of-unpacking: a0x0042a0e1je_0x0040e52e, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: LoadOrd.exe, end-of-unpacking: a0x004360e1je_0x00404e14, predicted-end-of-unpacking: a0x004360e1je_0x00404e14, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: ntfsinfo.exe, end-of-unpacking: a0x004310e1je_0x004046af, predicted-end-of-unpacking: a0x004310e1je_0x004046af, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: portmon.exe, end-of-unpacking: a0x005250e1je_0x00413b0e, predicted-end-of-unpacking: a0x005250e1je_0x00413b0e, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: pslist.exe, end-of-unpacking: a0x004400e1je_0x00409bbe, predicted-end-of-unpacking: a0x004400e1je_0x00409bbe, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: sync.exe, end-of-unpacking: a0x004310e1je_0x004049fe, predicted-end-of-unpacking: a0x004310e1je_0x004049fe, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Desktops.exe, end-of-unpacking: a0x0042b0e1je_0x004046c6, predicted-end-of-unpacking: a0x0042b0e1je_0x004046c6, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: Cacheset.exe, end-of-unpacking: a0x0042f0e1je_0x004024a2, predicted-end-of-unpacking: a0x0042f0e1je_0x004024a2, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: notmyfault.exe, end-of-unpacking: a0x0045d0e1je_0x00404f25, predicted-end-of-unpacking: a0x0045d0e1je_0x00404f25, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: PsService.exe, end-of-unpacking: a0x004430e1je_0x00407f52, predicted-end-of-unpacking: a0x004430e1je_0x00407f52, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: FullEventLogView.exe, end-of-unpacking: a0x0042e0e1je_0x00411228, predicted-end-of-unpacking: a0x0042e0e1je_0x00411228, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: FolderTimeUpdate.exe, end-of-unpacking: a0x004250e1je_0x0040c3a6, predicted-end-of-unpacking: a0x004250e1je_0x0040c3a6, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: adrestore.exe, end-of-unpacking: a0x0042d0e1je_0x00402471, predicted-end-of-unpacking: a0x0042d0e1je_0x00402471, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: ComIntRep.exe, end-of-unpacking: a0x0073d0e1je_0x0042800a, predicted-end-of-unpacking: a0x0073d0e1je_0x0042800a, score: 1.0000000000000002
Final decision: True, Packer: fsg, packer_identification: fsg, file_name: whois.exe, end-of-unpacking: a0x004350e1je_0x00405536, predicted-end-of-unpacking: a0x004350e1je_0x00405536, score: 1.0000000000000002
The accuracy of packer: fsg is 1.0
